cemetery,firstworldwarcasualties,secondworldwarcasualties,totalcasualties,cemeterycountry,locality
FARMBOROUGH (ALL SAINTS) CHURCHYARD,1,1,2,United Kingdom,Somerset
FARNBOROUGH (ST. BOTOLPH) CHURCHYARD,1,3,4,United Kingdom,Warwickshire
FARNBOROUGH (ST. GILES THE ABBOT) CHURCHYARD,5,8,13,United Kingdom,Kent
FARNBOROUGH (VICTORIA ROAD) CEMETERY,23,4,27,United Kingdom,Hampshire
FARNBOROUGH ABBEY ROMAN CATHOLIC CHURCHYARD,1,,1,United Kingdom,Hampshire
FARNDON (ST. CHAD) CHURCHYARD,2,,2,United Kingdom,Cheshire
FARNDON CEMETERY,2,2,4,United Kingdom,Nottinghamshire
FARNELL PARISH CHURCHYARD,1,,1,United Kingdom,Angus
FARNHAM (GREEN LANE) CEMETERY,2,11,13,United Kingdom,Surrey
FARNHAM (ST. LAWRENCE) CHURCHYARD,1,,1,United Kingdom,Dorset
FARNHAM (UPPER HALE) CEMETERY,16,4,20,United Kingdom,Surrey
FARNHAM CIVIL CEMETERY,23,17,40,United Kingdom,Surrey
FARNHAM ROYAL (ST. MARY) CHURCHYARD,6,9,15,United Kingdom,Buckinghamshire
FARNINGHAM (SS. PETER AND PAUL) CHURCHYARD,2,3,5,United Kingdom,Kent
FARNLEY TYAS (ST. LUCIUS) CHURCHYARD,1,,1,United Kingdom,Yorkshire
FARNSFIELD (ST. MICHAEL) CHURCHYARD,3,,3,United Kingdom,Nottinghamshire
FARNWORTH (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Lancashire
FARNWORTH (ST. LUKE) CHURCHYARD,15,11,26,United Kingdom,Lancashire
FARNWORTH CEMETERY,31,12,43,United Kingdom,Lancashire
FARR PARISH CHURCHYARD,6,1,7,United Kingdom,Sutherland
"FARRINGDON (ALL SAINTS) CHURCHYARD, HAMPSHIRE",1,2,3,United Kingdom,Hampshire
FARRINGDON CEMETERY,2,,2,Canada,Ontario
FARRINGTON GURNEY (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Somerset
FARSLEY (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Yorkshire
FARSLEY BAPTIST BURIAL GROUND,5,3,8,United Kingdom,Yorkshire
FARSUND CEMETERY,9,1,10,Norway,
FASLANE CEMETERY,34,9,43,United Kingdom,Dunbartonshire
FATFIELD (ST. GEORGE) CHURCHYARD,2,,2,United Kingdom,Durham
"FAUBOURG D'AMIENS CEMETERY, ARRAS",2679,9,2688,France,Pas de Calais
FAULDHOUSE CEMETERY,8,7,15,United Kingdom,West Lothian
FAULS (HOLY IMMANUEL) CHURCHYARD,1,,1,United Kingdom,Shropshire
FAUQUEMBERGUES COMMUNAL CEMETERY,2,,2,France,Pas de Calais
"FAUQUISSART MILITARY CEMETERY, LAVENTIE",105,,105,France,Pas de Calais
FAURESMITH CEMETERY,1,,16,South Africa,Free State
FAVERSHAM BOROUGH CEMETERY,31,32,64,United Kingdom,Kent
FAVREUIL BRITISH CEMETERY,412,,412,France,Pas de Calais
FAVRIL CHURCHYARD,3,,3,France,Nord
FAWKNER MEMORIAL PARK CEMETERY,24,156,181,Australia,Victoria
FAWLEY (ALL SAINTS) CHURCHYARD,3,24,27,United Kingdom,Hampshire
FAWLEY (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Herefordshire
FAZELEY (ST. PAUL) CHURCHYARD,3,3,6,United Kingdom,Staffordshire
FEARN ABBEY CHURCHYARD,1,,1,United Kingdom,Ross and Cromarty
FEATHERSTON CEMETERY,180,2,182,New Zealand,South Wairarapa District
FECAMP (LE VAL AUX CLERCS) COMMUNAL CEMETERY,11,21,32,France,Seine-Maritime
FECKENHAM (ST. JOHN THE BAPTIST) CHURCHYARD,3,1,4,United Kingdom,Worcestershire
FEILDING CEMETERY,2,3,5,New Zealand,Manawatu District
FELBRIDGE (ST. JOHN THE DIVINE) CHURCHYARD,2,2,4,United Kingdom,Surrey
FELINFOEL (ADULAM) BAPTIST BURIAL GROUND,1,1,2,United Kingdom,Carmarthenshire
FELIXSTOWE (SS. PETER AND PAUL) CHURCHYARD,13,4,17,United Kingdom,Suffolk
FELIXSTOWE (WALTON) CEMETERY,26,,26,United Kingdom,Suffolk
FELIXSTOWE NEW CEMETERY,64,51,118,United Kingdom,Suffolk
FELKIRK (ST. PETER) CHURCHYARD,2,2,4,United Kingdom,Yorkshire
FELMINGHAM (ST. ANDREW) CHURCHYARD,1,1,2,United Kingdom,Norfolk
FELPHAM (ST. MARY) CHURCHYARD,8,13,22,United Kingdom,Sussex
FELSHAM (ST. PETER) CHURCHYARD,1,2,3,United Kingdom,Suffolk
FELTHAM CEMETERY,14,30,45,United Kingdom,Middlesex
FELTHORPE (ST. MARGARET) CHURCHYARD,1,,1,United Kingdom,Norfolk
FELTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Northumberland
FELTON CEMETERY,1,3,4,United Kingdom,Northumberland
FELTWELL (ST. NICHOLAS) CHURCHYARD,6,48,56,United Kingdom,Norfolk
FEN DITTON CEMETERY,1,,1,United Kingdom,Cambridgeshire
FENAGHVALE (ST. PAUL'S) CEMETERY,1,,1,Canada,Ontario
FENCOTE (ST. ANDREW) CHURCHYARD,3,,3,United Kingdom,Yorkshire
FENELON FALLS CEMETERY,1,2,3,Canada,Ontario
FENITON (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Devon
FENOR CATHOLIC CHURCHYARD,1,1,2,"Ireland, Republic of",County Waterford
FENWICK (ST. JOHN) CHURCHYARD,1,2,3,United Kingdom,Yorkshire
"FENWICK CEMETERY, AYRSHIRE",1,2,3,United Kingdom,Ayrshire
FENWOOD CEMETERY,1,,1,Canada,Saskatchewan
FEOCK (ST. FEOCK) CHURCH CEMETERY,3,1,4,United Kingdom,Cornwall
FERE-CHAMPENOISE FRENCH NATIONAL CEMETERY,4,,4,France,Marne
FERE-EN-TARDENOIS COMMUNAL CEMETERY,13,,13,France,Aisne
FERFAY COMMUNAL CEMETERY,1,,1,France,Pas de Calais
FERGUS (BELSYDE) CEMETERY,3,4,7,Canada,Ontario
"FERME BUTERNE MILITARY CEMETERY, HOUPLINES",129,,129,France,Nord
FERME-OLIVIER CEMETERY,410,,410,Belgium,West-Vlaanderen
FERMOY MILITARY CEMETERY,22,,22,"Ireland, Republic of",County Cork
FERNDALE CEMETERY,12,15,27,United Kingdom,Glamorganshire
FERNHAM (ST. JOHN THE DIVINE) CHURCHYARD,2,,2,United Kingdom,Berkshire
FERNHURST BURIAL GROUND,4,3,7,United Kingdom,Sussex
FERNIE (ST. MARGARET'S) CEMETERY,8,4,12,Canada,British Columbia
FERNILEE METHODIST CHAPELYARD,5,2,7,United Kingdom,Derbyshire
FERNYHALGH (ST. MARY) ROMAN CATHOLIC CHURCHYARD,2,,2,United Kingdom,Lancashire
FEROZEPORE MILITARY CEMETERY,88,,88,India,
FERRIERE-LA-PETITE COMMUNAL CEMETERY,1,,1,France,Nord
FERRYBANK CATHOLIC CHURCHYARD,1,1,2,"Ireland, Republic of",County Kilkenny
FERRYLAND HOLY TRINITY CEMETERY,1,,1,Canada,Newfoundland and Labrador
FERRYSIDE (SALEM) BAPTIST BURIAL GROUND,1,1,2,United Kingdom,Carmarthenshire
FETCHAM (ST. MARY) CHURCHYARD,1,3,4,United Kingdom,Surrey
FETLAR PARISH CHURCHYARD,1,,1,United Kingdom,Shetland
FETTERCAIRN PARISH CHURCHYARD,2,,2,United Kingdom,Kincardineshire
"FETTERESSO CEMETERY, STONEHAVEN",7,9,16,United Kingdom,Kincardineshire
FEUCHY BRITISH CEMETERY,214,,214,France,Pas de Calais
"FEUCHY CHAPEL BRITISH CEMETERY, WANCOURT",1103,,1103,France,Pas de Calais
FEUQUIERES-EN-VIMEU COMMUNAL CEMETERY,1,3,4,France,Somme
FEWCOTT (ALL SAINTS) CHURCHYARD,2,,2,United Kingdom,Oxfordshire
FFAIRFACH (TABERNACLE) CONGREGATIONAL CHAPELYARD,1,2,3,United Kingdom,Carmarthenshire
FFORESTFACH (BETHLEHEM) CONGREGATIONAL CHAPELYARD,1,3,4,United Kingdom,Glamorganshire
FFORESTFACH (CALFARIA) WELSH BAPTIST CHAPELYARD,2,,2,United Kingdom,Glamorganshire
FIELD BROUGHTON (ST. PETER) CHURCHYARD,1,1,2,United Kingdom,Lancashire
FIELD DALLING (ST. ANDREW) CHURCHYARD,1,1,2,United Kingdom,Norfolk
"FIELD OF MARS CEMETERY, RYDE",12,26,38,Australia,New South Wales
FIENVILLERS BRITISH CEMETERY,124,,124,France,Somme
"FIFTEEN RAVINE BRITISH CEMETERY, VILLERS-PLOUICH",1267,,1267,France,Nord
FIGHELDEAN (ST. MICHAEL) CHURCHYARD,16,1,17,United Kingdom,Wiltshire
FILAIN CHURCHYARD,3,,3,France,Aisne
FILBY (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Norfolk
FILEY (ST. OSWALD) CHURCHYARD,6,19,25,United Kingdom,Yorkshire
FILLIEVRES BRITISH CEMETERY,81,19,100,France,Pas de Calais
FILLONGLEY (ST. MARY AND ALL SAINTS) CHURCHYARD,2,1,3,United Kingdom,Warwickshire
FIMBER (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Yorkshire
FINCH CEMETERY,1,2,3,Canada,Ontario
FINCHAMPSTEAD (ST. JAMES) CHURCHYARD,1,6,7,United Kingdom,Berkshire
FINCHINGFIELD (ST. JOHN THE BAPTIST) CHURCHYARD,2,,2,United Kingdom,Essex
FINCHINGFIELD UNITED REFORMED CHURCHYARD,1,,1,United Kingdom,Essex
FINCHLEY (HOLY TRINITY) CHURCHYARD,8,1,9,United Kingdom,Middlesex
FINDON (ST. JOHN THE BAPTIST) CHURCHYARD,5,,5,United Kingdom,Sussex
FINEDON CEMETERY,4,7,11,United Kingdom,Northamptonshire
FINGAL CEMETERY,1,,1,Canada,Ontario
FINGHALL (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Yorkshire
FINGRINGHOE (ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Essex
FINNER CEMETERY,9,2,11,"Ireland, Republic of",County Donegal
FINNINGLEY (HOLY TRINITY AND ST. OSWALD) CHURCHYARD,1,2,8,United Kingdom,Nottinghamshire
"FINS NEW BRITISH CEMETERY, SOREL-LE-GRAND",1564,,1564,France,Somme
FINSTALL (ST. GODWALD) CHURCHYARD,4,1,5,United Kingdom,Worcestershire
FINSTHWAITE (ST. PETER) CHURCHYARD,1,1,2,United Kingdom,Lancashire
FINTONA PRESBYTERIAN CHURCHYARD,1,1,2,United Kingdom,County Tyrone
FINTOWN CATHOLIC CHURCHYARD,1,,1,"Ireland, Republic of",County Donegal
FINTRY PARISH CHURCHYARD,1,1,2,United Kingdom,Stirlingshire
FIONPHORT BURIAL GROUND,1,,1,United Kingdom,Argyllshire
FIORENZUOLA D'ARDA COMMUNAL CEMETERY,1,,1,Italy,
FIRBECK (ST. MARTIN) CHURCHYARD,2,,2,United Kingdom,Yorkshire
FIRSBY (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Lincolnshire
"FIRST D.C.L.I. CEMETERY, THE BLUFF",76,,76,Belgium,West-Vlaanderen
FISHBURN UNITED CHURCH CEMETERY,1,,1,Canada,Alberta
FISHERTON CEMETERY,1,,1,Canada,Manitoba
FISHERTON DE LA MERE (ST. NICHOLAS) CHURCHYARD,2,,2,United Kingdom,Wiltshire
FISHGUARD (HERMON) BAPTIST BURIAL GROUND,3,5,8,United Kingdom,Pembrokeshire
FISHGUARD (TABERNACLE) CONGREGATIONAL CHAPELYARD,1,1,2,United Kingdom,Pembrokeshire
FISHGUARD CHURCH CEMETERY,2,2,4,United Kingdom,Pembrokeshire
FITJAR CHURCHYARD,3,,3,Norway,
FITTLEWORTH (ST. MARY) CHURCHYARD,2,1,3,United Kingdom,Sussex
FITZHEAD (ST. JAMES) CHURCHYARD,1,,1,United Kingdom,Somerset
FIVE ISLANDS METHODIST CEMETERY,1,,1,Canada,Nova Scotia
"FIVE POINTS CEMETERY, LECHELLE",101,,101,France,Pas de Calais
FIVEMILETOWN CHURCH OF IRELAND CHURCHYARD,3,2,5,United Kingdom,County Tyrone
FLAMBOROUGH (ST. OSWALD) CHURCHYARD,6,,6,United Kingdom,Yorkshire
"FLAMSTEAD (ST. LEONARD) CHURCH, GOD'S ACRE",4,,4,United Kingdom,Hertfordshire
"FLATIRON COPSE CEMETERY, MAMETZ",1573,,1573,France,Somme
FLATLANDS CEMETERY,1,1,2,Canada,New Brunswick
FLAVY-LE-MARTEL COMMUNAL CEMETERY,1,,1,France,Aisne
FLAX BOURTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Somerset
FLAXLEY (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Gloucestershire
FLAXTON (ST. LAWRENCE) CHURCHYARD,1,,1,United Kingdom,Yorkshire
FLECKNEY (ST. NICHOLAS) CHURCHYARD,2,1,3,United Kingdom,Leicestershire
FLEET (ALL SAINTS) CHURCHYARD,8,1,9,United Kingdom,Hampshire
FLEET (ST. MARY MAGDALENE) CHURCHYARD,4,2,6,United Kingdom,Lincolnshire
FLEETWOOD BOROUGH CEMETERY,39,53,92,United Kingdom,Lancashire
FLEMPTON (ST. CATHERINE) CHURCHYARD,3,,3,United Kingdom,Suffolk
FLENU COMMUNAL CEMETERY,17,,17,Belgium,Hainaut
FLERS-EN-ESCREBIEUX COMMUNAL CEMETERY,1,,1,France,Nord
FLESHERTON CEMETERY,2,1,3,Canada,Ontario
FLESQUIERES HILL BRITISH CEMETERY,921,,921,France,Nord
FLETCHING BURIAL GROUND,3,1,4,United Kingdom,Sussex
FLEUR-DE-LIS CHURCH CEMETERY,6,10,16,United Kingdom,Monmouthshire
FLEURY-LA-RIVIERE COMMUNAL CEMETERY,2,,2,France,Marne
"FLIMBY CEMETERY, MARYPORT",5,3,8,United Kingdom,Cumberland
FLINES-LES-RACHES CHURCHYARD,1,1,2,France,Nord
FLINT (NORTHOP ROAD) CEMETERY,10,7,18,United Kingdom,Flintshire
FLINTON UNITED CHURCH CEMETERY,1,,1,Canada,Ontario
FLITCHAM (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Norfolk
FLITWICK CHURCH BURIAL GROUND,3,2,5,United Kingdom,Bedfordshire
FLIXTON (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Suffolk
FLIXTON (ST. MICHAEL) CHURCHYARD,14,10,24,United Kingdom,Lancashire
FLORE (ALL SAINTS) CHURCHYARD,1,2,3,United Kingdom,Northamptonshire
FLOTTA PARISH CHURCHYARD,9,1,10,United Kingdom,Orkney
FLOURSIES CHURCHYARD,5,,5,France,Nord
FLUQUIERES COMMUNAL CEMETERY,3,,3,France,Aisne
FLUSHING (VLISSINGEN) NORTHERN CEMETERY,40,204,245,Netherlands,Zeeland
FOAM LAKE CEMETERY,1,,1,Canada,Saskatchewan
FOBBING (ST. MICHAEL) CHURCHYARD,1,2,3,United Kingdom,Essex
FODDERTY OLD CHURCHYARD,10,6,16,United Kingdom,Ross and Cromarty
FOGGIA COMMUNAL CEMETERY,1,,1,Italy,
FOICH BURIAL GROUND,1,,1,United Kingdom,Ross and Cromarty
FOLESHILL CONGREGATIONAL BURIAL GROUND,2,,2,United Kingdom,Warwickshire
FOLIES COMMUNAL CEMETERY,5,,5,France,Somme
FOLKESTONE OLD CEMETERY,43,,43,United Kingdom,Kent
FOLKINGHAM (ST. ANDREW) CHURCHYARD,2,,2,United Kingdom,Lincolnshire
FOLKTON (ST. JOHN) CHURCHYARD,1,,1,United Kingdom,Yorkshire
FOLLA RULE (ST. GEORGE) EPISCOPALIAN CHURCHYARD,1,,1,United Kingdom,Aberdeenshire
FOLLY MOUNTAIN CEMETERY,1,,1,Canada,Nova Scotia
FONCHETTE CHURCHYARD,1,,1,France,Somme
FONCQUEVILLERS MILITARY CEMETERY,653,5,658,France,Pas de Calais
FONTAINE-AU-BOIS COMMUNAL CEMETERY,95,,95,France,Nord
FONTAINE-AU-PIRE COMMUNAL CEMETERY,171,,171,France,Nord
FONTAINE-LE-SEC COMMUNAL CEMETERY,1,,1,France,Somme
FONTAINE-NOTRE DAME COMMUNAL CEMETERY,3,,3,France,Nord
FONTAINE-VALMONT COMMUNAL CEMETERY,1,,1,Belgium,Hainaut
FONTAINEBLEAU COMMUNAL CEMETERY,1,,6,France,Seine-et-Marne
FONTANAFREDDA COMMUNAL CEMETERY,1,,1,Italy,
FONTHILL BISHOP (ALL SAINTS) CHURCHYARD,2,1,3,United Kingdom,Wiltshire
FONTHILL CEMETERY,4,6,10,Canada,Ontario
FONTHILL GIFFORD (HOLY TRINITY) CHURCHYARD,1,,1,United Kingdom,Wiltshire
FONTMELL MAGNA (ST. ANDREW) CHURCHYARD,1,1,2,United Kingdom,Dorset
FOOT'S BAY UNITED CHURCH CEMETERY,1,2,3,Canada,Ontario
"FOOTS CRAY (ALL SAINTS) CHURCHYARD, KENT",2,,2,United Kingdom,Kent
FOOTS CRAY BAPTIST CHAPELYARD,1,,1,United Kingdom,Kent
FOOTSCRAY CEMETERY,14,30,44,Australia,Victoria
FORBES CEMETERY,5,4,9,Australia,New South Wales
FORCEVILLE COMMUNAL CEMETERY AND EXTENSION,311,,311,France,Somme
"FORD (ST. MICHAEL) CHURCHYARD, SHROPSHIRE",1,1,2,United Kingdom,Shropshire
"FORDCOMBE (ST. PETER) CHURCHYARD, PENSHURST",1,2,3,United Kingdom,Kent
FORDHAM (SS. PETER AND MARY MAGDALENE) CHURCHYARD EXTENSION,5,3,8,United Kingdom,Cambridgeshire
FORDINGBRIDGE CEMETERY,8,4,12,United Kingdom,Hampshire
FORDOUN PARISH CHURCHYARD,2,,2,United Kingdom,Kincardineshire
FORDWICH (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Kent
FORDWICH PUBLIC CEMETERY,1,1,2,Canada,Ontario
FORDYCE OLD CHURCHYARD,2,,2,United Kingdom,Banffshire
FORENVILLE MILITARY CEMETERY,101,6,107,France,Nord
FOREST (BEECHWOOD) CEMETERY,1,,1,Canada,Ontario
FOREST COMMUNAL CEMETERY,125,,125,France,Nord
FOREST GREEN CONGREGATIONAL CHAPEL CEMETERY,3,2,5,United Kingdom,Gloucestershire
FOREST HILL (ST. NICHOLAS) CHURCH CEMETERY,1,1,2,United Kingdom,Oxfordshire
FOREST HILL CEMETERY,1,,1,Australia,Queensland
FOREST OF DEAN (CHRIST CHURCH) CHURCHYARD,7,2,9,United Kingdom,Gloucestershire
FOREST ROW CEMETERY,13,8,21,United Kingdom,Sussex
FOREST TOWN (ST. ALBAN) CHURCHYARD,29,3,32,United Kingdom,Nottinghamshire
FOREST-IN-TEESDALE (ST. JAMES THE LESS) CHURCHYARD,2,,2,United Kingdom,Durham
FOREST-L'ABBAYE CHURCHYARD,1,,1,France,Somme
FOREST-MONTIERS CHURCHYARD,1,,1,France,Somme
FORESTE COMMUNAL CEMETERY,117,,117,France,Aisne
FORFAR CEMETERY,12,22,34,United Kingdom,Angus
FORGAN (VICARSFORD) CEMETERY,6,5,11,United Kingdom,Fifeshire
FORGES-LES-EAUX COMMUNAL CEMETERY,5,15,20,France,Seine-Maritime
FORGES-LES-EAUX COMMUNAL CEMETERY EXTENSION,3,,3,France,Seine-Maritime
FORGLEN OLD CHURCHYARD,2,,2,United Kingdom,Banffshire
FORGUE PARISH CHURCHYARD,4,3,7,United Kingdom,Aberdeenshire
FORKS BADDECK (ST. ANDREW'S) UNITED CEMETERY,1,,1,Canada,Nova Scotia
FORMBY (OUR LADY OF COMPASSION) ROMAN CATHOLIC CHURCHYARD,9,11,20,United Kingdom,Lancashire
FORMBY (ST. LUKE) CHURCHYARD,2,1,3,United Kingdom,Lancashire
FORMBY (ST. PETER) CHURCHYARD,7,3,10,United Kingdom,Lancashire
FORNCETT ST. PETER (SS. PETER AND PAUL) CHURCHYARD,1,1,2,United Kingdom,Norfolk
FORRABURY (ST. SYMPHORIAN) CHURCHYARD,2,1,3,United Kingdom,Cornwall
FORRES (CLUNY HILL) CEMETERY,20,7,27,United Kingdom,Moray
FORRESTVILLE (HILLCREST) CEMETERY,1,,1,Canada,Ontario
FORSBROOK BURIAL GROUND,3,,3,United Kingdom,Staffordshire
FORT BEAUFORT CEMETERY,1,1,2,South Africa,Eastern Cape
FORT CARLISLE MILITARY CEMETERY,5,,5,"Ireland, Republic of",County Cork
FORT COULONGE (ST. PIERRE'S) ROMAN CATHOLIC CEMETERY,1,1,2,Canada,Quebec
FORT ERIE (GREENWOOD) CEMETERY,1,1,2,Canada,Ontario
FORT ERIE (SPEARS) CEMETERY,2,,2,Canada,Ontario
FORT ERIE (ST. PAUL'S) ANGLICAN CHURCHYARD,1,,1,Canada,Ontario
FORT FRANCES CEMETERY,3,2,5,Canada,Ontario
FORT GEORGE MEMORIAL,41,,41,Belize,
"FORT GEORGE MILITARY CEMETERY, ST. PETER PORT, GUERNSEY",23,113,136,United Kingdom,Channel Islands
FORT MACLEOD (ST. PAUL'S) CEMETERY,1,,1,Canada,Alberta
FORT MACLEOD (UNION) CEMETERY,9,5,14,Canada,Alberta
FORT PITT MILITARY CEMETERY,266,25,291,United Kingdom,Kent
FORT QU'APPELLE (LAKE VIEW) CEMETERY,3,1,4,Canada,Saskatchewan
FORT RIXON MILITARY GRAVE,1,,1,Zimbabwe,
FORT SASKATCHEWAN (BETHANY LUTHERIAN) CEMETERY,1,,1,Canada,Alberta
FORT SASKATCHEWAN CEMETERY,1,1,2,Canada,Alberta
FORT ST. JOHN CEMETERY,1,,1,Canada,British Columbia
FORT WILLIAM (ST. ANDREW) EPISCOPALIAN CHURCHYARD,2,2,4,United Kingdom,Inverness-shire
FORT WILLIAM (THE CRAIGS) CEMETERY,3,,3,United Kingdom,Inverness-shire
FORT WILLIAM FIRST NATIONS CEMETERY,2,1,3,Canada,Ontario
FORT WORTH (GREENWOOD) MEMORIAL PARK,11,,11,United States of America,Texas
FORTEVIOT PARISH CHURCHYARD,3,1,4,United Kingdom,Perthshire
FORTH METHODIST CEMETERY,1,,1,Australia,Tasmania
FORTINGALL PARISH CHURCHYARD,1,,1,United Kingdom,Perthshire
FORTON (ALL SAINTS) CHURCHYARD,3,,3,United Kingdom,Staffordshire
"FOSSE 7 MILITARY CEMETERY (QUALITY STREET), MAZINGARBE",141,,141,France,Pas de Calais
"FOSSE NO.10 COMMUNAL CEMETERY EXTENSION, SAINS-EN-GOHELLE",471,,471,France,Pas de Calais
"FOSSE NO.10 COMMUNAL CEMETERY, SAINS-EN-GOHELLE",1,,1,France,Pas de Calais
FOSSTON (KINGO) LUTHERAN FREE CHURCH CEMETERY,1,,1,United States of America,Minnesota
FOSTON-ON-THE-WOLDS (ST. ANDREW) NEW CHURCHYARD,3,,3,United Kingdom,Yorkshire
FOTHERBY (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
FOUCAUCOURT COMMUNAL CEMETERY,9,,9,France,Somme
FOUFFLIN-RICAMETZ CHURCHYARD,1,,1,France,Pas de Calais
"FOUILLOY COMMUNAL CEMETERY, OISE",1,,1,France,Oise
"FOUILLOY COMMUNAL CEMETERY, SOMME",39,,39,France,Somme
FOULDEN PARISH CHURCHYARD,2,,2,United Kingdom,Berwickshire
FOULKSTOWN CATHOLIC CHURCHYARD,2,1,3,"Ireland, Republic of",County Kilkenny
FOULNESS (ST. MARY) CHURCHYARD,3,,3,United Kingdom,Essex
FOULRIDGE (ST. MICHAEL) CHURCHYARD,5,1,6,United Kingdom,Lancashire
FOULSHAM (HOLY INNOCENTS) CHURCHYARD,1,2,3,United Kingdom,Norfolk
FOUQUEREUIL COMMUNAL CEMETERY,2,,2,France,Pas de Calais
FOUQUESCOURT BRITISH CEMETERY,376,,376,France,Somme
FOUQUESCOURT OLD CHURCHYARD,1,,1,France,Somme
FOUQUIERES CHURCHYARD,1,,1,France,Pas de Calais
FOUQUIERES CHURCHYARD EXTENSION,392,27,419,France,Pas de Calais
FOUQUIERES-LES-LENS COMMUNAL CEMETERY,3,,3,France,Pas de Calais
FOUR MILE BRIDGE (SARDIS) BAPTIST CHAPEL BURIAL GROUND,1,,1,United Kingdom,Anglesey
FOUR MILE BRIDGE WESLEYAN CHAPELYARD,1,,1,United Kingdom,Anglesey
FOURMIES COMMUNAL CEMETERY,10,,10,France,Nord
FOVANT (ST. GEORGE) CHURCHYARD,63,1,64,United Kingdom,Wiltshire
FOVERAN OLD CHURCHYARD,3,,3,United Kingdom,Aberdeenshire
FOWEY CEMETERY,5,8,13,United Kingdom,Cornwall
FOWLMERE CEMETERY,1,,1,United Kingdom,Cambridgeshire
FOWNHOPE (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Herefordshire
FOX RIVER (HOLY TRINITY) CHURCH CEMETERY,2,,2,Canada,Nova Scotia
FOXDALE (ST. PAUL) CHURCHYARD,1,,1,United Kingdom,Isle of Man
FOXEARTH (SS. PETER AND PAUL) CHURCHYARD,1,,1,United Kingdom,Essex
FOXHAM (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Wiltshire
FOXTON (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Leicestershire
FOXTON CEMETERY,1,,1,New Zealand,Horowhenua District
FRADLEY (ST. STEPHEN) CHURCHYARD,2,32,35,United Kingdom,Staffordshire
FRAIZE CHURCHYARD,1,,1,France,Vosges
FRAMERIES COMMUNAL CEMETERY,95,,95,Belgium,Hainaut
FRAMERVILLE COMMUNAL CEMETERY,5,,5,France,Somme
FRAMFIELD (ST. THOMAS-A-BECKET) CHURCHYARD,6,1,7,United Kingdom,Sussex
FRAMINGHAM EARL (ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Norfolk
FRAMINGHAM PIGOT (ST. ANDREW) CHURCHYARD,2,,2,United Kingdom,Norfolk
FRAMLINGHAM CEMETERY,4,2,6,United Kingdom,Suffolk
FRAMPTON (SS. MARY AND MICHAEL) CHURCHYARD,3,,3,United Kingdom,Lincolnshire
FRAMPTON (ST. MARY) CHURCHYARD EXTENSION,1,1,2,United Kingdom,Dorset
FRAMPTON-COTTERELL (SS. PETER AND PAUL) CHURCHYARD,2,1,3,United Kingdom,Gloucestershire
FRAMSDEN (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Suffolk
FRANCE (1914-1918) MEMORIAL,37,,37,France,Berkshire
FRANCE LYNCH (ST. JOHN THE BAPTIST) CHURCHYARD,5,2,7,United Kingdom,Gloucestershire
FRANCE LYNCH CONGREGATIONAL CHAPELYARD,1,,1,United Kingdom,Gloucestershire
"FRANCIS LOOKOUT PRIVATE CEMETERY, SHERWOOD",1,,1,Australia,Queensland
"FRANKFURT TRENCH BRITISH CEMETERY, BEAUMONT-HAMEL",161,,161,France,Somme
FRANKSTON CEMETERY,2,7,9,Australia,Victoria
FRANKTOWN PUBLIC CEMETERY,2,1,3,Canada,Ontario
FRANSU CHURCHYARD,2,4,6,France,Somme
FRANT (ST. ALBAN) CHURCHYARD,5,2,7,United Kingdom,Sussex
FRANVILLERS COMMUNAL CEMETERY,8,,8,France,Somme
FRANVILLERS COMMUNAL CEMETERY EXTENSION,253,,253,France,Somme
FRASERBURGH (KIRKTON) CEMETERY,31,30,61,United Kingdom,Aberdeenshire
FRASNOY COMMUNAL CEMETERY,39,,39,France,Nord
FRATING CHURCHYARD,1,,1,United Kingdom,Essex
FRECHENCOURT COMMUNAL CEMETERY,57,,57,France,Somme
FRECKLETON (HOLY TRINITY) CHURCHYARD,1,1,2,United Kingdom,Lancashire
FREDERICKHEIM FIRST GERMAN BAPTIST CHURCH CEMETERY,1,,1,Canada,Alberta
FREDERICTON CEMETERY,1,,1,Canada,Prince Edward Island
